SMILES,TDDFT_S1,TDDFT_T1
CCN(CC)c1ccc(-c2ccc(-c3ccnc4c3ccc3c(-c5ccc(-c6ccc(N(CC)CC)cc6)cc5)ccnc34)cc2)cc1,3.1855,2.6208
CC1=C(C)C(=Cc2[nH]c(C(c3[nH]c(C=C4NC(=O)C(C)=C4C)c(C)c3CCC(=O)O)C(C)C)c(CCC(=O)O)c2C)NC1=O,2.7649,1.7261
N#Cc1ccc(-n2c3ccccc3c(=O)c3ccccc32)c(C#N)c1C#N,2.3341,2.3141
Cc1cc(C)c(-c2ncncn2)c(C)c1-c1ccc2cnccc2c1,4.0291,2.7668
Cc1cc(C)c(-c2cncc3nccnc23)c(C)c1-c1ccc2cc(N(C)C)ccc2c1,2.318,2.3135
CCC1=C(C)C2=C(c3ccc(C(=O)NCCCCCC(=O)NCCCCC(C(=O)OCc4ccccc4)N(CC(=O)OCc4ccccc4)CC(=O)OCc4ccccc4)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,2.8355,1.4548
Cc1cc(-c2cc(-c3c(C)cc(N4c5ccccc5Oc5ccccc54)cc3C)cc([SH](=O)=O)c2)cc(C)c1C1=CC(C)c2ccccc21,3.4051,2.9437
Cc1cc(C)c(-c2nc3nc4ncoc4cc3o2)c(C)c1-c1ccc2c(c1)sc1ncccc12,3.9502,3.0075
[C-]#[N+]/C(C#N)=C1C(=C/C=C2/N(C)c3ccccc3C2(C)C)/C(=O)c2ccccc2/1,2.5036,1.6373
Cc1cc(-c2cncc3nccnc23)c(C)cc1-c1ccc2c(c1)[CH2:2]c1cccnc1[SiH2:2]2,3.0747,2.5662
CC1(C)c2ccccc2-c2ccc(-c3ccnc4cnncc34)cc21,3.2506,2.6702
N#Cc1ccc(C2CC(c3nc4ccccc4s3)CC(c3ccccc3)(c3ccccc3)C2)c(C#N)c1,3.8801,3.2125
N#Cc1cc(C#N)c(COCc2cnc3sc4ncccc4c3c2)c(C#N)c1,3.0407,3.0061
O=c1cc[nH]c2c(C(c3ccccc3)c3ncncn3)cccc12,3.1257,2.8546
c1cc(C2CCC(n3cnc4cc5nc[nH]c5cc43)CC2)c2ncsc2c1,3.7922,2.9969
N#CC#Cn1cnc2nc3nc[nH]c3cc21,3.9264,3.2503
Cc1c(-c2ccc3c(c2)-c2ncccc2[SiH2:2]3)ccc(-c2ccc(-c3ccc(-c4ccc5c6ccccc6n(C)c5c4)c(C)c3C)c3ocnc23)c1C,3.7595,2.9351
Cn1c2ccccc2c(=O)c2ccc(C3CCC(c4cc(C5CCC(c6coc7ccccc67)CC5)c(F)c(F)c4F)CC3)cc21,3.5171,2.7319
Cc1c(-c2ccc(C#N)cc2)ccc(-c2nc3ccccc3s2)c1C,3.8827,2.8739
Fc1cc(F)c(F)c(COCn2cccn2)c1F,5.0031,3.7071
O=[SH](=O)c1cc(CSCc2cc3nc4ccoc4nc3o2)cc(CSCn2c3ccccc3c3c4ccccc4[nH]c32)c1,2.8838,2.8345
