SMILES,TDDFT_S1,TDDFT_T1
Brc1ccccc1NNc1c2ccccc2nc2ccccc12,3.0747,1.824
Brc1cccc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)c1,3.1064,1.7351
Brc1cccc(-c2cc3c4c(cccc4n2)-c2ccccc2-3)c1,3.1591,2.3254
Brc1cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)c(Br)cc1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,2.4571,1.6761
Brc1cccc(-c2nc3cc4nc5ccccc5nc4cc3[nH]2)c1,2.6957,1.5759
Brc1ccc(C=Cc2ccc3c4c(ccc3c2)OC(c2ccccc2)(c2ccccc2)C4=C=C(c2ccccc2)c2ccccc2)cc1,3.2004,2.0623
Brc1ccc(/C=C/c2ccncn2)cc1,3.7187,2.274
Brc1ccc(/C=C/c2cnc3ccccc3n2)cc1,3.2256,2.0075
Brc1ccc(/C=C/C=C/C=C/c2ccc(Br)cc2)cc1,3.0388,1.4824
Brc1ccc(/C=C/N(c2ccccc2)c2ccccc2)cc1,3.4745,2.4192
Brc1cccc(/C=N/c2ccc(/N=N/c3ccccc3)cc2)c1,2.5543,1.8389
Brc1cccc(/C=N\c2ccc(/N=N/c3ccccc3)cc2)c1,2.6272,1.8888
Brc1cccc(C=NCCN=Cc2cccc(Br)c2)c1,4.3045,3.0397
Brc1ccccn1,5.0437,3.802
Brc1ccc(Cn2c3ccccc3c3ccc4cc5ccccc5nc4c32)cc1,2.7844,1.8654
Brc1cccc(Nc2c3ccccc3nc3ccccc23)c1,2.9291,1.8011
Brc1ccc(/C=N/c2ccc3cc4ccc(/N=C/c5ccc(Br)cc5)cc4nc3c2)cc1,2.9081,1.7318
Brc1ccc(/C=N/c2ccc(/N=N/c3ccccc3)cc2)s1,2.5481,1.8378
Brc1cccc(Nc2nc(N/N=C/c3c4ccccc4cc4ccccc34)nc(N3CCOCC3)n2)c1,2.7938,1.5302
Brc1cccc(/N=C/c2c3ccccc3cc3ccccc23)c1,2.7712,1.549
BrC1=CC=CN2B1C=Cc1c2ccc2ccccc12,3.6567,2.541
BrC1=CC=CN2B1C=Cc1ccccc12,3.8524,2.7603
Brc1ccc(N2c3c(sc4ccccc34)Sc3sc4ccccc4c32)cc1,2.8122,2.166
Brc1ccc(-n2cccc2)cc1,4.4077,3.4184
Brc1ccc(-[n+]2nc3c(-c4ccccc4)cc(Br)cc3c3ccccc32)cc1,2.2376,1.8136
Brc1cccnc1,4.8307,3.7603
Brc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,2.8603,1.7949
Brc1ccc(Nc2ccc3ccccc3n2)cc1,3.5201,2.7869
Brc1ccc(N(c2ccc(/C=C/c3ccncn3)cc2)c2ccc(/C=C/c3ccncn3)cc2)cc1,2.6955,1.9883
Brc1ccc(N/C=C/C=[NH+]c2ccc(Br)cc2)cc1,2.8576,1.9827
Brc1ccc(/N=N/c2ccc(Br)cc2)cc1,2.6034,1.8578
Brc1ccc(/N=N/c2ccccc2)cc1,2.6004,1.8493
Brc1ccc(/N=N/c2ccc(Nc3ccccc3)cc2)cc1,2.6587,1.8157
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,4.4744,3.4388
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,4.3702,3.4222
Brc1ccc(Oc2ccc(Br)c(Br)c2Br)cc1,4.143,3.3805
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,4.4227,3.4271
Brc1ccc(Oc2ccc(Br)cc2)cc1,4.4823,3.4783
Brc1ccc(Oc2ccccc2)cc1,4.5804,3.5248
BrC1=CN2C[n+]3cc(Br)c4ccccc4c3N=C2c2ccccc21,2.8536,2.209
BrC1=CN2C[n+]3cc(Br)cc(Br)c3N=C2C(Br)=C1,2.8792,2.0711
BrC1=CN2C[n+]3cc(Br)ccc3N=C2C=C1,3.0212,2.2115
Brc1cnc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1,3.1208,2.2851
Brc1cnc(-c2ccncc2)s1,4.0196,2.6306
Brc1nccs1,5.0212,3.4023
Brc1nnc(N=Nc2ccc(-c3cccs3)s2)s1,2.3617,1.2366
BrC(Br)Br,4.4218,3.9948
BrC(Br)(Br)Br,3.895,3.51
BrC(Br)c1ccccc1,4.7334,3.5061
BrCc1c2ccccc2cc2ccccc12,3.0255,1.6826
BrCc1c2ccccc2c(CBr)c2ccccc12,2.8433,1.5534
BrCc1c2ccccc2nc2ccccc12,3.0512,1.7673
BrCc1ccccc1,4.9644,3.546
Br/C=C/Br,4.7543,3.5721
Br/C=C\Br,4.9791,3.6919
BrC#Cc1ccccc1,4.88,3.1814
BrCCCCCCC1(CCCCCCBr)c2ccccc2-c2ccc(-c3sc(-c4c5c(c(-c6sc(-c7ccc8c(c7)C(CCCCCCBr)(CCCCCCBr)c7ccccc7-8)c7c6OCCO7)c6nsnc46)N=S=N5)c4c3OCCO4)cc21,1.2241,0.2833
BrCCCCCCCCCCCCOc1cc2ccc3cccc4ccc(c1)c2c34,3.5606,2.1398
BrCCCCCCOc1ccc(-c2ccc(-c3sc(-c4c5c(c(-c6sc(-c7ccc(-c8ccc(OCCCCCCBr)cc8)cc7)c7c6OCCO7)c6nsnc46)N=S=N5)c4c3OCCO4)cc2)cc1,1.2252,0.2423
BrNBr,3.0757,2.2454
BrN(Br)Br,2.352,1.58
BrP(Br)Br,4.14,3.577
BrP(Br)(Br)(Br)Br,1.7833,1.5105
Br[Si](Br)(Br)Br,5.2646,4.9426
BrSSBr,3.0324,2.321
C1=C2B(c3ccccc3C(c3ccccc3)=C2c2ccccc2)N(Cc2ccccc2)c2ccccc21,3.1214,2.0357
C1=C2B(Nc3ccc(-c4ccc5ccc6cccc7ccc4c5c67)cc31)c1cc(-c3ccc4ccc5cccc6ccc3c4c56)ccc1C(c1ccccc1)=C2c1ccccc1,3.0444,2.0529
C1=C2B(Nc3ccccc31)c1cc(-c3ccc4c(c3)B3Nc5ccccc5C=C3C(c3ccccc3)=C4c3ccccc3)ccc1C(c1ccccc1)=C2c1ccccc1,2.7436,1.863
C1=C2B(Nc3ccccc31)c1cc(N(c3ccccc3)c3ccccc3)ccc1C(c1ccccc1)=C2c1ccccc1,1.8858,0.8451
C1=C2B(Nc3ccccc31)c1sccc1C(c1ccccc1)=C2c1ccccc1,3.0228,1.9746
C1=C2B(Nc3ccccc31)OB1Nc3ccccc3C=C1C(c1ccccc1)=C2c1ccccc1,2.4945,1.0281
C1=C2B(Nc3ccc(N(c4ccccc4)c4ccccc4)cc31)c1cc(N(c3ccccc3)c3ccccc3)ccc1C(c1ccccc1)=C2c1ccccc1,1.9982,0.7904
C1=C2B(OB3C(=Cc4ccccc4N3c3ccccc3)C(c3ccccc3)=C2c2ccccc2)N(c2ccccc2)c2ccccc21,2.4976,1.0318
C1=C2B(OB3C(=Cc4ccccc4N3Cc3ccccc3)C(c3ccccc3)=C2c2ccccc2)N(Cc2ccccc2)c2ccccc21,2.5075,1.0426
C1=C2c3cc4ccccc4cc3C3=[N+]2[B-]2(Oc4ccccc43)Oc3ccccc3-c3c4cc5ccccc5cc4c1n32,1.7367,0.8341
C1=C2C3=C(C4=[N+]2[B-]2(Oc5ccccc54)Oc4ccccc4-c4c5c(c1n42)C1CCC5CC1)C1CCC3CC1,2.2132,1.8712
C1C2CC12,6.0825,5.9938
C1C2CC3CC1CC(C2)C3,6.7381,6.6234
c1c2c(cc3c1-c1cc4c(cc1-3)CC4)CC2,3.1038,2.0974
c1c2c(cc3c1-c1cc4c(cc1-3)CCCC4)CCCC2,3.256,2.2387
c1c2c(cc3c1CCC3)CCC2,4.8429,3.6184
c1c2c(cc3c1CCCC3)CCCC2,4.8703,3.5488
c1c2c(cc3cc4c(cc13)CC4)CC2,4.2832,2.7471
C1=C2CCC(=Cc3ccc([nH]3)C=c3ccc([nH]3)=Cc3ccc1[nH]3)N2,2.1979,1.3132
C1=CB2C=Cc3cc4ccccc4cc3N2C=C1,3.3361,2.2127
C1=CB2C=Cc3c(ccc4ccccc34)N2C=C1,3.737,2.5424
C1=CB2C=Cc3ccccc3N2C=C1,3.9823,2.9035
C1CC1,7.722,7.5588
