,SMILES,xTB_S1,xTB_T1,T1S1ratio
332435,O=[N+]([O-])c1cc2ncccc2c2cc(F)ccc12,3.3284609231863884,2.4394042877988733,0.7328925723014326
490670,OC1(c2ccccc2-c2ccc(Cl)cc2)c2ccccc2C=Cc2ccc(-c3ccccc3)cc21,3.868650955021296,2.6365767285414963,0.6815235489568695
337207,O=[N+]([O-])c1ccnc2ccc3ncc(S)cc3c12,3.1881525324277065,2.5422856543501955,0.7974165691546452
127217,FC(=C1C(=C(F)C(Cl)(Cl)C(Cl)(Cl)C(F)(F)CC(Cl)(Cl)Br)C1=C(F)C(Cl)(Cl)C(Cl)(Cl)C(F)(F)CC(Cl)(Cl)Br)C(Cl)(Cl)C(Cl)(Cl)C(F)(F)CC(Cl)(Cl)Br,3.36833825879373,1.8187055795023943,0.5399414903637705
281022,O=C(O)c1ccc2nc(S)ncc2c1,3.655158674875229,2.6652706761153584,0.7291805672995411
18684,CCCC/C(=C/F)/F,6.143472141012315,4.221564860855588,0.6871626930109205
224610,c1ccc(-c2cc(-c3ccccc3)c3c(ccc4ccccc43)n2)cc1,3.625552286116624,2.675225394188285,0.7378807925160978
446266,CSc1noc2c(C#N)c3cnncc3cc12,3.076671168222483,2.2651726551705287,0.7362413892542212
190040,c1ccc(cc1)c1nc(nc(n1)c1ccccc1N1c2ccccc2c2ccc3c(c4ccccc4C43c3ccccc3c3ccccc43)c12)c1ccccc1,2.959558779537793,2.5646509430972606,0.8665653004863763
146327,FC(F)C(=C1C(=C(C(F)(F)F)C(Cl)(Cl)C(F)(F)CC(Br)(Br)Br)C(=C(C(F)F)C(Cl)(Cl)C(F)(F)CC(Br)(Br)Br)C1=C(C(F)(F)F)C(Cl)(Cl)C(F)(F)CC(Br)(Br)Br)C(Cl)(Cl)C(F)(F)CC(Br)(Br)Br,2.134010018162272,0.7092494832607751,0.3323552735106434
37827,CCOC(=O)C1=C(NN=C1)F,5.520252486639083,4.0865518638594915,0.7402835058270176
427833,CSc1c2cc(C(F)(F)F)ncc2cc2nonc12,2.5334885477885605,1.1216607192894827,0.44273368445598915
261716,O=S(=O)(O)c1csc2cc3ccsc3c(F)c12,3.815311234143028,2.575393816305584,0.6750153940938067
46684,[C](C1=C([C](C(CC(CC(Br)(Br)Cl)(Br)Br)(Cl)Cl)CCl)/C/1=C(/C(CC(CC(Br)(Br)Cl)(Br)Br)(Cl)Cl)\CCl)(C(CC(CC(Br)(Br)Cl)(Br)Br)(Cl)Cl)CCl,2.81930947641803,1.6061745620678323,0.5697049492092292
397574,COc1c(F)c2cccc3ncc4cccc1c4c32,3.3309163025929154,2.058782396478215,0.6180828965517922
109049,FCC(F)(F)C(Br)(Br)B1N(Cl)B(C(Br)(Br)C(F)(F)CF)N(Cl)B(C(Br)(Br)C(F)(F)CF)N1Cl,3.2781532307646453,2.8031442351375606,0.8550985990620437
72528,FC(F)(C1=CC=C(C(F)(F)C(Cl)(Cl)CC(Cl)(Cl)C(Br)(Br)C(Br)Br)C=C1)C(Cl)(Cl)CC(Cl)(Cl)C(Br)(Br)C(Br)Br,4.135069340016047,3.538851185061361,0.8558142304447132
550046,c1ccc2c(c1)[nH]c1c3ccccc3c3c([nH]c4c5c6ccccc6[nH]c5c5ccccc5c43)c21,3.0360874627983145,2.3742737859893235,0.782017585159089
131702,FC(F)(Cl)C(CC(Cl)(Cl)C(Br)(Br)Br)=C1C(=C(CC(Cl)(Cl)C(Br)(Br)Br)C(F)(F)Cl)C(=C(CC(Cl)(Cl)C(Br)(Br)Br)C(F)(F)Cl)C1=C(CC(Cl)(Cl)C(Br)(Br)Br)C(F)(F)Cl,3.25054424690079,1.5472673721387151,0.47600255668383745
312531,CSc1ccc2ccc3ccc(O)cc3c2c1,3.698756991432147,2.66861741896616,0.721490334495557
371083,COc1cccc2snc(O)c12,4.070886898482343,2.9742655827044127,0.7306185744961966
391621,COc1cccc2c3nccnc3c3c(S)cccc3c12,3.360992362279158,2.5274944714735965,0.7520083948538492
183743,Cc1ccc(cc1)N(c1ccc(C)cc1)c1ccc2c3ccc(N(c4ccc(C)cc4)c4ccc(C)cc4)c4c(C#N)c(cc(c2c1)c34)C#N,1.6293247883179809,1.2501148462603164,0.7672594532553951
188338,C=C1C23CCCC2=CC21C(CCN2S(=O)(=O)c1ccc(cc1)N(=O)=O)C3,2.99975897796017,2.672047332504752,0.8907540079509116
19032,C(#N)C(C(F)(F)F)(C(F)(F)F)N=O,1.8662988674570087,0.9160736347028422,0.49085044773727504
70784,FC(F)(C1=CC=C(C(F)(F)C(Cl)(Cl)C(F)(F)C(Br)(Br)C(Br)Br)C=C1)C(Cl)(Cl)C(F)(F)C(Br)(Br)C(Br)Br,4.331672597161502,3.5653948736058894,0.8230988823906622
495185,CCNc1nc(CC)n(CC)c1NC([2H])C,4.079532045077667,3.5039881796980055,0.858919145867696
563633,c1ccc(N(c2ccccc2)c2ccc3c(c2)c2c4sc5c(ccc6c5c5cc(N(c7ccccc7)c7ccccc7)ccc5n6-c5ccc6c(c5)c5ccccc5n6-c5ccccc5)c4ccc2n3-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)cc1,3.0509382846400808,2.638737500342603,0.864893765182764
519567,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(Br)ccc2-c2ccc(C(=O)O)cc21,3.9216547280124905,2.7729083821267615,0.7070761131314794
63438,FC(F)(CCC1=CC(Br)=C(CCC(F)(F)C(Cl)(Cl)C(Cl)(Cl)C(Br)(Br)Br)C=C1Br)C(Cl)(Cl)C(Cl)(Cl)C(Br)(Br)Br,3.6963846838298986,3.5423026325644464,0.9583154718881141
299610,O=S1(=O)C=C(C(F)(F)F)c2cc3c(cc21)C=C(C(F)(F)F)S3(=O)=O,3.4267320054072856,2.2702445880435853,0.662510107140332
102874,ClCCC(Cl)(Cl)C1=C(Cl)C(C(Cl)(Cl)CCCl)=C(Cl)C(C(Cl)(Cl)CCCl)=C1Cl,4.285979647285928,3.018002256823636,0.7041569268147992
581203,OC[C@@H](C#C)[C@H]1CO1,4.565294394904593,3.228642093132238,0.7072144343496848
411521,N#Cc1ccc2ncc3cc(O)cc4cnc1c2c34,3.261967143683595,2.302601042777093,0.7058933892806988
148623,FCC(Cl)(Cl)CC(Cl)(Cl)C(=C1C(=C(C(Cl)(Br)Br)C(Cl)(Cl)CC(Cl)(Cl)CF)C(=C(C(Br)Br)C(Cl)(Cl)CC(Cl)(Cl)CF)C1=C(C(Cl)(Br)Br)C(Cl)(Cl)CC(Cl)(Cl)CF)C(Br)Br,0.4705163563228625,0.349050210614684,0.7418450090503763
498977,CC1(C)c2cc(-c3c4ccccc4c(-c4cccc5ccccc45)c4ccccc34)cc3c2-c2c(cc(-c4c5ccccc5c(-c5cccc6ccccc56)c5ccccc45)cc2C(C)(C)C3(C)C)C1(C)C,3.673397090980861,2.4169179768200872,0.6579517315877027
167660,Sc1ccc(s1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(s1)S,2.5006424617923444,1.705554975300717,0.6820467145384128
221674,O1C(N2c3ccccc3C(=C2c2c1ccc1ccccc21)c1ccccc1)c1ccccc1,3.2930845325632467,2.3882378675933023,0.7252282302435654
305016,CN(C)c1cccc2cc3c([N+](=O)[O-])cccc3nc12,2.157502659534626,1.43118197304473,0.6633511976079957
